ID;Mag (I);Mag (V);Period;Uncertainty Period;A.Mag (V);A.Mag (I);Dis. Mod. W;Distance 1;Distance2;Distance 3;Distance 1 +;Distance 1 -;Distance 2 +;Distance 2 -;Distance 3 +;Distance 3 -
OGLE-LMC-CEP-2791;15,68;16,64;3,383935;0,000006;-2,39;-3,16;18,54;63.813,32;58.486,17;50.051,21;63.813,38;63.813,26;58.486,23;58.486,10;51.050,37;51.050,23
OGLE-LMC-CEP-0646;15,68;16,64;3,429210;0,000003;-2,40;-3,18;18,42;64.475,33;58.978,91;47.890,60;64.475,36;64.475,31;58.978,94;58.978,88;48.411,29;48.411,26
OGLE-LMC-CEP-2772;15,68;16,46;2,948750;0,000002;-2,23;-2,98;18,48;54.523,87;53.974,17;53.021,02;54.523,88;54.523,85;53.974,19;53.974,15;49.668,65;49.668,61
OGLE-LMC-CEP-2879;15,68;16,62;2,956724;0,000005;-2,23;-2,98;18,60;58.886,12;54.086,10;53.408,95;58.886,17;58.886,07;54.086,16;54.086,05;52.362,64;52.362,51
OGLE-LMC-CEP-2675;15,68;17,17;6,856682;0,000081;-3,21;-4,07;18,59;119.147,48;89.376,97;40.656,48;119.148,23;119.146,73;89.377,60;89.376,34;52.132,86;52.131,01
OGLE-LMC-CEP-1729;15,68;16,54;3,011009;0,000001;-2,25;-3,01;18,59;57.257,48;54.726,74;50.933,56;57.257,49;57.257,47;54.726,76;54.726,73;52.206,07;52.206,06
OGLE-LMC-CEP-3125;15,68;16,68;3,169522;0,000002;-2,31;-3,07;18,55;62.940,57;56.427,77;31.355,24;62.940,59;62.940,54;56.427,79;56.427,74;51.247,95;51.247,88
OGLE-LMC-CEP-0518;15,69;16,56;3,248572;0,000005;-2,34;-3,11;18,36;60.206,55;57.368,79;54.745,32;60.206,60;60.206,50;57.368,85;57.368,74;47.077,04;47.076,99
OGLE-LMC-CEP-1072;15,69;16,40;2,666319;0,000004;-2,11;-2,85;18,59;50.423,97;50.991,66;49.044,23;50.424,01;50.423,94;50.991,70;50.991,62;52.310,30;52.310,25
OGLE-LMC-CEP-1061;15,69;16,47;2,598050;0,000003;-2,08;-2,82;18,57;51.241,49;50.254,93;49.040,43;51.241,52;51.241,46;50.254,96;50.254,90;51.665,18;51.665,14
OGLE-LMC-CEP-0201;15,70;16,43;2,570592;0,000006;-2,07;-2,80;18,41;50.067,70;50.075,55;50.100,55;50.067,76;50.067,64;50.075,62;50.075,49;48.089,01;48.088,96
OGLE-LMC-CEP-2933;15,70;16,52;2,739244;0,000002;-2,14;-2,88;18,58;53.937,99;52.034,39;50.400,54;53.938,01;53.937,98;52.034,41;52.034,37;51.972,52;51.972,47
OGLE-LMC-CEP-1597;15,70;16,40;2,329886;0,000005;-1,95;-2,67;18,60;46.833,51;47.266,33;56.644,25;46.833,56;46.833,46;47.266,39;47.266,27;52.579,80;52.579,70
OGLE-LMC-CEP-1684;15,70;16,54;2,851890;0,000001;-2,19;-2,94;18,53;55.723,82;53.349,73;57.583,55;55.723,83;55.723,81;53.349,74;53.349,71;50.710,33;50.710,32
OGLE-LMC-CEP-1149;15,70;16,45;2,524430;0,000004;-2,05;-2,78;18,48;49.952,27;49.628,44;50.541,60;49.952,31;49.952,22;49.628,49;49.628,39;49.601,56;49.601,50
OGLE-LMC-CEP-1660;15,70;16,51;2,659704;0,000004;-2,11;-2,85;18,65;52.949,40;51.269,09;51.973,09;52.949,43;52.949,36;51.269,13;51.269,05;53.632,23;53.632,18
OGLE-LMC-CEP-0267;15,71;16,55;2,790834;0,000003;-2,16;-2,91;18,59;55.337,80;52.811,06;51.885,77;55.337,84;55.337,77;52.811,10;52.811,02;52.161,68;52.161,65
OGLE-LMC-CEP-0433;15,71;16,49;2,444608;0,000002;-2,01;-2,74;18,59;50.061,48;48.798,40;53.252,78;50.061,50;50.061,45;48.798,43;48.798,37;52.203,10;52.203,08
OGLE-LMC-CEP-0822;15,71;16,44;2,532521;0,000003;-2,05;-2,78;18,55;49.876,66;49.837,90;50.733,15;49.876,69;49.876,63;49.837,94;49.837,87;51.292,03;51.292,00
OGLE-LMC-CEP-0161;15,71;16,33;2,114945;0,000002;-1,84;-2,55;18,61;43.142,93;44.778,90;50.039,64;43.142,96;43.142,91;44.778,92;44.778,87;52.643,74;52.643,73
OGLE-LMC-CEP-1790;15,71;16,41;2,656077;0,000001;-2,11;-2,84;18,49;50.506,18;51.321,81;48.490,10;50.506,19;50.506,17;51.321,83;51.321,80;49.774,72;49.774,69
OGLE-LMC-CEP-0053;15,71;16,49;2,633879;0,000004;-2,10;-2,83;18,37;52.239,40;51.089,01;52.728,16;52.239,44;52.239,35;51.089,06;51.088,96;47.112,98;47.112,96
OGLE-LMC-CEP-1053;15,71;16,37;2,383113;0,000002;-1,98;-2,70;18,63;46.816,10;48.128,73;50.097,12;46.816,12;46.816,08;48.128,76;48.128,71;53.307,22;53.307,20
OGLE-LMC-CEP-0132;15,71;16,60;3,061051;0,000007;-2,27;-3,03;18,66;59.546,32;55.933,30;49.620,25;59.546,39;59.546,24;55.933,37;55.933,22;54.031,88;54.031,84
OGLE-LMC-CEP-0140;15,71;16,41;2,420256;0,000003;-2,00;-2,72;18,65;47.993,44;48.619,63;46.264,58;47.993,47;47.993,42;48.619,66;48.619,60;53.734,62;53.734,61
OGLE-LMC-CEP-2925;15,71;16,53;2,511383;0,000001;-2,04;-2,77;18,54;51.707,49;49.703,62;53.734,61;51.707,51;51.707,48;49.703,64;49.703,60;51.059,51;51.059,47
OGLE-LMC-CEP-0537;15,71;16,55;3,047987;0,000005;-2,27;-3,02;18,58;57.977,97;55.816,45;53.014,94;57.978,02;57.977,92;55.816,50;55.816,40;52.095,44;52.095,40
OGLE-LMC-CEP-1520;15,71;16,01;3,565712;0,000003;-2,45;-3,23;18,58;49.050,80;61.321,17;51.390,54;49.050,82;49.050,78;61.321,20;61.321,14;51.968,82;51.968,77
OGLE-LMC-CEP-0164;15,71;16,52;2,780816;0,000003;-2,16;-2,90;18,72;54.398,63;52.892,39;52.485,22;54.398,66;54.398,60;52.892,42;52.892,36;55.547,02;55.547,01
OGLE-LMC-CEP-2841;15,71;17,32;5,557250;0,000025;-2,96;-3,80;18,61;113.908,26;79.980,37;48.899,03;113.908,53;113.907,98;79.980,59;79.980,16;52.832,00;52.831,46
OGLE-LMC-CEP-0765;15,72;16,42;2,488892;0,000005;-2,03;-2,76;18,51;48.962,91;49.574,37;50.306,75;48.962,96;48.962,86;49.574,43;49.574,31;50.400,57;50.400,50
OGLE-LMC-CEP-0644;15,72;16,43;2,474060;0,000001;-2,02;-2,75;18,48;49.122,57;49.443,42;50.740,11;49.122,58;49.122,55;49.443,44;49.443,41;49.687,25;49.687,24
OGLE-LMC-CEP-3124;15,72;16,69;3,189015;0,000008;-2,32;-3,08;18,55;63.467,68;57.528,30;52.457,79;63.467,76;63.467,60;57.528,38;57.528,21;51.216,46;51.216,23
OGLE-LMC-CEP-2165;15,72;16,45;2,473959;0,000005;-2,02;-2,75;18,52;49.484,77;49.464,99;49.517,59;49.484,82;49.484,72;49.465,05;49.464,94;50.579,19;50.579,10
OGLE-LMC-CEP-2674;15,72;16,56;2,830818;0,000004;-2,18;-2,93;18,56;56.017,15;53.605,66;48.671,95;56.017,19;56.017,10;53.605,71;53.605,62;51.640,68;51.640,58
OGLE-LMC-CEP-3031;15,72;16,55;2,673628;0,000001;-2,11;-2,85;18,49;54.159,16;51.809,39;51.564,68;54.159,18;54.159,15;51.809,41;51.809,37;49.961,21;49.961,17
OGLE-LMC-CEP-0351;15,72;16,67;3,500906;0,000008;-2,43;-3,20;18,44;65.855,54;60.877,67;52.095,12;65.855,62;65.855,46;60.877,75;60.877,58;48.725,95;48.725,87
OGLE-LMC-CEP-0436;15,73;16,50;2,650975;0,000004;-2,10;-2,84;18,58;52.686,41;51.713,49;52.358,46;52.686,45;52.686,38;51.713,53;51.713,45;52.035,52;52.035,50
OGLE-LMC-CEP-2781;15,73;16,69;2,997137;0,000003;-2,25;-3,00;18,74;61.399,00;55.667,68;49.293,91;61.399,03;61.398,97;55.667,71;55.667,65;56.035,03;56.034,96
OGLE-LMC-CEP-0466;15,73;16,60;2,999974;0,000010;-2,25;-3,00;18,64;58.827,54;55.750,44;40.509,78;58.827,65;58.827,44;55.750,55;55.750,32;53.544,17;53.544,08
OGLE-LMC-CEP-2376;15,73;17,13;5,261907;0,000005;-2,90;-3,73;18,52;101.505,71;78.025,04;52.576,49;101.505,76;101.505,65;78.025,09;78.025,00;50.501,32;50.501,20
OGLE-LMC-CEP-1905;15,73;16,44;2,523839;0,000003;-2,05;-2,78;18,55;49.762,36;50.358,18;50.760,34;49.762,39;49.762,33;50.358,22;50.358,14;51.196,21;51.196,15
OGLE-LMC-CEP-2774;15,73;16,85;3,813171;0,000006;-2,53;-3,31;18,49;75.059,71;64.445,92;49.140,82;75.059,77;75.059,65;64.445,98;64.445,86;49.893,23;49.893,07
OGLE-LMC-CEP-1779;15,73;16,36;2,444215;0,000009;-2,01;-2,74;18,49;47.213,53;49.449,74;49.251,63;47.213,62;47.213,44;49.449,84;49.449,63;49.889,78;49.889,60
