ID;Mag (I);Mag (V);Period;Uncertainty Period;A.Mag (V);A.Mag (I);Dis. Mod. W;Distance 1;Distance2;Distance 3;Distance 1 +;Distance 1 -;Distance 2 +;Distance 2 -;Distance 3 +;Distance 3 -
OGLE-LMC-CEP-0986;12,41;13,35;31,050491;0,000482;-4,96;-6,03;18,50;45.852,66;48.681,96;51.149,88;45.853,04;45.852,28;48.682,41;48.681,51;50.041,60;50.034,21
OGLE-LMC-CEP-1058;12,48;13,39;30,398953;0,000517;-4,93;-6,00;18,54;46.115,46;49.599,06;48.957,18;46.115,87;46.115,04;49.599,56;49.598,56;50.955,40;50.947,49
OGLE-LMC-CEP-0821;12,61;13,75;25,803222;0,000113;-4,74;-5,79;18,49;49.984,33;47.863,52;50.591,68;49.984,45;49.984,21;47.863,65;47.863,40;49.836,68;49.835,26
OGLE-LMC-CEP-0535;12,64;13,57;17,275552;0,000149;-4,28;-5,27;17,45;37.118,35;38.181,40;50.566,74;37.118,52;37.118,18;38.181,60;38.181,21;30.880,92;30.879,30
OGLE-LMC-CEP-2019;12,70;13,64;28,103403;0,000237;-4,84;-5,90;18,53;49.617,77;52.593,20;48.364,04;49.617,99;49.617,55;52.593,46;52.592,93;50.790,16;50.785,39
OGLE-LMC-CEP-0467;12,71;13,67;22,717607;0,000212;-4,60;-5,63;18,45;44.905,30;46.473,56;51.415,08;44.905,53;44.905,08;46.473,82;46.473,30;49.009,20;49.006,80
OGLE-LMC-CEP-0712;12,74;13,62;20,704268;0,000459;-4,49;-5,50;17,54;41.857,76;44.602,72;49.698,59;41.858,25;41.857,26;44.603,31;44.602,13;32.234,04;32.227,33
OGLE-LMC-CEP-2176;12,77;13,85;23,049898;0,000074;-4,61;-5,64;18,48;49.234,01;48.102,58;48.898,52;49.234,10;49.233,93;48.102,67;48.102,48;49.616,72;49.615,15
OGLE-LMC-CEP-0801;12,85;13,74;21,262368;0,000285;-4,52;-5,54;18,80;44.786,24;47.670,87;48.135,80;44.786,56;44.785,92;47.671,25;47.670,49;57.498,15;57.494,43
OGLE-LMC-CEP-0501;12,86;13,52;23,307106;0,000321;-4,63;-5,66;17,63;42.602,86;50.610,84;52.321,71;42.603,18;42.602,55;50.611,26;50.610,43;33.641,46;33.637,70
OGLE-LMC-CEP-0973;12,86;14,05;10,465644;0,000307;-3,70;-4,62;18,47;35.461,33;31.404,53;50.894,21;35.461,88;35.460,77;31.405,08;31.403,99;49.440,10;49.436,01
OGLE-LMC-CEP-2023;12,89;13,80;16,223195;0,000224;-4,21;-5,19;18,43;39.830,23;41.282,63;48.804,74;39.830,52;39.829,94;41.282,97;41.282,29;48.573,84;48.568,52
OGLE-LMC-CEP-0935;12,96;13,88;21,117772;0,000384;-4,51;-5,53;18,61;47.748,76;49.829,33;47.233,44;47.749,22;47.748,30;49.829,87;49.828,79;52.768,86;52.762,81
OGLE-LMC-CEP-1080;12,97;13,97;18,661445;0,000077;-4,37;-5,37;18,65;46.439,20;46.542,10;51.648,32;46.439,31;46.439,10;46.542,21;46.541,98;53.637,78;53.636,48
OGLE-LMC-CEP-0819;12,98;14,03;22,317239;0,000080;-4,57;-5,60;18,66;52.647,05;52.119,34;51.209,34;52.647,15;52.646,95;52.119,45;52.119,23;53.879,03;53.878,17
OGLE-LMC-CEP-1587;12,98;13,98;21,610076;0,001023;-4,54;-5,56;18,58;50.525,02;51.151,21;46.173,91;50.526,29;50.523,74;51.152,66;51.149,77;51.959,40;51.941,26
OGLE-LMC-CEP-0844;13,03;13,88;17,210164;0,000237;-4,27;-5,27;18,48;42.649,03;45.674,03;49.407,85;42.649,35;42.648,72;45.674,40;45.673,65;49.655,98;49.652,41
OGLE-LMC-CEP-2949;13,05;14,09;19,222249;0,000369;-4,40;-5,41;18,56;49.905,85;49.104,08;49.893,15;49.906,36;49.905,34;49.104,64;49.103,52;51.642,61;51.635,98
OGLE-LMC-CEP-1833;13,09;14,06;19,163531;0,000059;-4,40;-5,40;18,55;49.254,05;50.017,84;53.940,51;49.254,13;49.253,97;50.017,93;50.017,75;51.202,29;51.201,19
OGLE-LMC-CEP-0538;13,11;14,01;18,487367;0,000543;-4,36;-5,36;18,75;47.088,11;49.364,83;48.726,72;47.088,85;47.087,37;49.365,70;49.363,97;56.152,40;56.147,26
OGLE-LMC-CEP-0079;13,11;14,12;22,543324;0,000229;-4,59;-5,62;18,53;55.018,86;55.694,27;52.053,91;55.019,16;55.018,56;55.694,61;55.693,93;50.777,01;50.775,96
OGLE-LMC-CEP-0787;13,22;14,14;17,520542;0,000298;-4,29;-5,29;18,56;48.624,41;50.199,62;49.215,83;48.624,86;48.623,97;50.200,13;50.199,11;51.445,68;51.441,92
OGLE-LMC-CEP-2056;13,22;14,08;15,843974;0,000023;-4,18;-5,16;18,59;44.784,47;47.275,80;50.608,06;44.784,50;44.784,44;47.275,84;47.275,76;52.354,90;52.354,36
OGLE-LMC-CEP-2534;13,22;14,12;18,715997;0,000151;-4,37;-5,37;18,52;49.976,03;52.384,43;49.450,33;49.976,24;49.975,81;52.384,68;52.384,18;50.498,89;50.495,43
OGLE-LMC-CEP-0970;13,24;14,20;17,459423;0,000067;-4,29;-5,28;18,67;49.916,48;50.675,15;49.398,37;49.916,58;49.916,38;50.675,27;50.675,03;54.288,39;54.287,38
OGLE-LMC-CEP-0727;13,25;14,11;14,489140;0,000027;-4,07;-5,04;18,22;43.410,70;45.569,89;49.962,79;43.410,74;43.410,65;45.569,94;45.569,84;44.060,29;44.059,92
OGLE-LMC-CEP-1641;13,27;14,13;13,962397;0,000049;-4,03;-4,99;18,61;42.855,70;44.924,49;50.601,50;42.855,78;42.855,62;44.924,58;44.924,39;52.728,62;52.727,70
OGLE-LMC-CEP-0546;13,28;14,03;15,215075;0,000347;-4,13;-5,11;18,50;42.947,15;47.505,59;50.578,77;42.947,68;42.946,63;47.506,24;47.504,94;50.041,86;50.038,35
OGLE-LMC-CEP-0545;13,28;14,24;15,831339;0,000123;-4,18;-5,16;18,48;48.299,48;48.711,58;49.958,77;48.299,68;48.299,28;48.711,81;48.711,36;49.709,19;49.707,70
OGLE-LMC-CEP-0360;13,29;14,32;22,087923;0,000181;-4,56;-5,59;18,60;59.893,36;59.555,63;48.466,69;59.893,62;59.893,10;59.555,92;59.555,34;52.585,84;52.584,24
OGLE-LMC-CEP-0847;13,30;14,33;20,639366;0,000055;-4,48;-5,50;18,60;57.949,25;57.669,72;49.426,77;57.949,34;57.949,17;57.669,81;57.669,63;52.378,18;52.377,43
OGLE-LMC-CEP-1031;13,31;14,38;18,469598;0,000218;-4,36;-5,36;18,52;55.884,10;54.171,21;54.486,15;55.884,45;55.883,75;54.171,59;54.170,82;50.498,58;50.495,21
OGLE-LMC-CEP-3203;13,33;14,15;13,400033;0,000242;-3,98;-4,94;18,68;42.391,09;45.168,05;51.144,69;42.391,50;42.390,68;45.168,54;45.167,57;54.467,67;54.460,92
OGLE-LMC-CEP-2780;13,34;14,58;23,110700;0,000422;-4,62;-5,65;18,53;69.036,09;62.582,21;55.158,45;69.036,76;69.035,42;62.582,89;62.581,53;50.853,04;50.842,76
OGLE-LMC-CEP-2944;13,35;14,31;20,319628;0,000289;-4,47;-5,48;18,60;56.836,46;58.331,42;53.544,13;56.836,89;56.836,03;58.331,91;58.330,92;52.451,24;52.444,54
OGLE-LMC-CEP-1578;13,39;14,19;13,283416;0,000016;-3,97;-4,93;18,51;42.839,80;46.085,74;52.173,13;42.839,83;42.839,77;46.085,78;46.085,71;50.246,88;50.246,59
OGLE-LMC-CEP-0848;13,39;14,22;15,989138;0,000064;-4,19;-5,17;18,47;48.044,38;51.618,10;47.915,28;48.044,48;48.044,28;51.618,22;51.617,98;49.384,58;49.383,77
OGLE-LMC-CEP-1088;13,40;14,30;13,879181;0,000125;-4,02;-4,99;18,49;46.197,91;47.526,33;51.898,94;46.198,13;46.197,68;47.526,58;47.526,07;49.908,77;49.906,98
OGLE-LMC-CEP-0923;13,41;14,24;12,064053;0,000058;-3,86;-4,81;18,62;41.640,64;43.976,32;50.004,89;41.640,75;41.640,53;43.976,45;43.976,19;53.042,23;53.041,46
OGLE-LMC-CEP-1180;13,41;14,27;15,126900;0,000032;-4,12;-5,10;18,58;47.663,56;50.331,38;50.587,17;47.663,61;47.663,50;50.331,44;50.331,31;52.066,53;52.066,09
OGLE-LMC-CEP-0683;13,43;14,33;14,676936;0,000097;-4,09;-5,06;18,58;48.326,27;49.798,32;50.756,29;48.326,44;48.326,10;49.798,52;49.798,12;52.054,48;52.053,34
OGLE-LMC-CEP-1086;13,44;14,35;17,201416;0,000092;-4,27;-5,26;18,59;53.111,83;54.996,82;51.263,06;53.111,98;53.111,68;54.997,00;54.996,65;52.206,08;52.204,68
OGLE-LMC-CEP-1166;13,47;14,35;13,908924;0,000027;-4,03;-4,99;18,58;47.371,67;49.100,84;49.414,42;47.371,72;47.371,63;49.100,90;49.100,78;52.049,94;52.049,59
OGLE-LMC-CEP-2030;13,47;14,48;13,871351;0,000131;-4,02;-4,99;18,57;50.083,13;49.066,84;51.046,32;50.083,38;50.082,87;49.067,11;49.066,56;51.880,24;51.877,36
OGLE-LMC-CEP-1001;13,47;14,36;14,466900;0,000034;-4,07;-5,04;18,46;48.645,26;50.359,34;50.031,62;48.645,32;48.645,20;50.359,41;50.359,27;49.221,24;49.220,79
OGLE-LMC-CEP-2636;13,48;14,40;14,216367;0,000071;-4,05;-5,02;18,45;48.976,66;50.021,15;53.184,83;48.976,79;48.976,53;50.021,30;50.021,00;49.047,61;49.045,64
OGLE-LMC-CEP-0500;13,49;14,26;13,978114;0,000082;-4,03;-5,00;18,42;45.443,27;49.793,73;51.241,03;45.443,41;45.443,12;49.793,90;49.793,55;48.231,51;48.230,70
OGLE-LMC-CEP-3013;13,50;14,36;13,659469;0,000049;-4,01;-4,97;18,55;47.132,63;49.385,54;50.314,84;47.132,72;47.132,54;49.385,64;49.385,44;51.242,05;51.241,03
OGLE-LMC-CEP-1538;13,51;14,23;10,918243;0,000049;-3,75;-4,68;18,50;39.316,38;43.307,38;48.344,55;39.316,48;39.316,29;43.307,50;43.307,27;50.013,80;50.013,00
OGLE-LMC-CEP-2922;13,52;14,27;12,770190;0,000160;-3,93;-4,88;18,57;43.522,05;47.924,47;54.031,86;43.522,35;43.521,76;47.924,83;47.924,12;51.870,79;51.867,20
OGLE-LMC-CEP-2189;13,53;14,28;10,991254;0,000021;-3,75;-4,68;18,62;40.431,44;43.922,68;49.791,63;40.431,48;40.431,40;43.922,72;43.922,63;52.916,19;52.915,71
OGLE-LMC-CEP-0820;13,53;14,42;16,836443;0,000111;-4,25;-5,24;18,50;54.152,40;56.778,11;49.871,72;54.152,59;54.152,21;56.778,33;56.777,89;50.172,45;50.170,92
OGLE-LMC-CEP-1539;13,54;14,47;13,512843;0,000024;-3,99;-4,95;18,42;49.228,74;49.888,85;56.224,40;49.228,79;49.228,70;49.888,90;49.888,80;48.382,28;48.381,86
OGLE-LMC-CEP-0561;13,55;14,26;11,670653;0,000075;-3,82;-4,76;18,58;41.288,47;45.965,18;51.590,25;41.288,61;41.288,33;45.965,36;45.965,00;52.019,03;52.018,22
OGLE-LMC-CEP-2168;13,56;14,60;15,991958;0,000026;-4,19;-5,17;18,60;57.237,87;55.801,74;47.927,02;57.237,92;57.237,82;55.801,79;55.801,68;52.440,66;52.440,18
OGLE-LMC-CEP-0167;13,57;14,43;12,510778;0,000091;-3,90;-4,85;18,62;46.318,00;48.332,56;50.668,35;46.318,18;46.317,82;48.332,77;48.332,35;53.011,09;53.010,53
OGLE-LMC-CEP-0741;13,57;14,34;10,792565;0,000023;-3,73;-4,66;18,36;41.104,42;44.275,37;52.150,51;41.104,47;41.104,38;44.275,43;44.275,31;47.019,79;47.019,49
OGLE-LMC-CEP-1184;13,58;14,56;14,211627;0,000095;-4,05;-5,02;18,53;52.833,79;52.368,16;49.884,39;52.833,98;52.833,60;52.368,37;52.367,95;50.873,19;50.871,73
OGLE-LMC-CEP-0949;13,59;14,38;12,916653;0,000033;-3,94;-4,89;18,43;46.126,88;49.832,43;49.484,75;46.126,94;46.126,82;49.832,51;49.832,35;48.630,72;48.630,20
OGLE-LMC-CEP-1109;13,60;14,41;11,860382;0,000021;-3,84;-4,78;18,55;44.624,02;47.446,84;50.946,55;44.624,06;44.623,98;47.446,89;47.446,79;51.286,16;51.285,84
OGLE-LMC-CEP-2911;13,61;14,28;11,240298;0,000262;-3,78;-4,71;18,54;40.993,53;46.099,27;51.292,01;40.994,04;40.993,03;46.099,91;46.098,63;51.167,48;51.160,47
OGLE-LMC-CEP-0366;13,61;14,37;9,529429;0,000039;-3,59;-4,50;18,43;39.086,04;41.793,75;50.331,12;39.086,13;39.085,96;41.793,85;41.793,64;48.579,19;48.578,79
OGLE-LMC-CEP-2937;13,61;14,79;16,162149;0,000050;-4,20;-5,18;18,53;62.941,71;57.357,55;50.579,14;62.941,81;62.941,60;57.357,65;57.357,44;50.848,44;50.847,09
OGLE-LMC-CEP-3091;13,63;14,71;13,641660;0,000132;-4,00;-4,96;18,45;55.261,05;52.223,00;55.433,95;55.261,33;55.260,76;52.223,30;52.222,70;48.890,13;48.886,03
OGLE-LMC-CEP-0800;13,63;14,44;12,636150;0,000026;-3,92;-4,87;18,48;46.780,22;49.937,11;46.299,43;46.780,27;46.780,17;49.937,17;49.937,05;49.620,43;49.620,07
OGLE-LMC-CEP-1957;13,63;14,63;6,814187;0,000013;-3,20;-4,07;18,52;36.867,45;34.642,95;49.219,88;36.867,49;36.867,41;34.642,98;34.642,91;50.591,77;50.591,51
OGLE-LMC-CEP-2337;13,64;14,59;13,142915;0,000073;-3,96;-4,92;18,54;51.331,19;51.311,12;52.473,18;51.331,35;51.331,04;51.311,29;51.310,95;51.013,09;51.011,53
OGLE-LMC-CEP-0356;13,65;14,49;12,683848;0,000045;-3,92;-4,87;18,33;48.054,72;50.652,34;52.686,83;48.054,81;48.054,63;50.652,45;50.652,24;46.264,78;46.264,37
OGLE-LMC-CEP-3163;13,65;14,63;11,836318;0,000217;-3,84;-4,78;18,59;49.442,19;48.605,01;43.994,47;49.442,67;49.441,70;48.605,54;48.604,48;52.259,61;52.252,36
OGLE-LMC-CEP-2102;13,65;14,55;12,263320;0,000020;-3,88;-4,83;18,56;48.586,62;49.666,50;52.955,88;48.586,66;48.586,58;49.666,55;49.666,45;51.464,70;51.464,29
OGLE-LMC-CEP-0174;13,66;14,76;15,862728;0,000113;-4,18;-5,16;18,55;61.235,29;57.962,28;48.817,82;61.235,52;61.235,06;57.962,52;57.962,03;51.189,27;51.188,52
OGLE-LMC-CEP-0749;13,66;14,54;12,195292;0,000085;-3,87;-4,82;18,54;48.064,74;49.616,06;50.907,83;48.064,92;48.064,56;49.616,26;49.615,85;51.008,93;51.007,81
OGLE-LMC-CEP-2429;13,67;14,54;11,231353;0,000076;-3,78;-4,71;18,55;46.039,51;47.390,12;50.731,17;46.039,68;46.039,35;47.390,31;47.389,93;51.190,42;51.188,58
OGLE-LMC-CEP-0975;13,67;14,56;12,620241;0,000059;-3,91;-4,86;18,48;49.473,21;50.874,13;51.425,93;49.473,34;49.473,09;50.874,27;50.873,98;49.735,35;49.734,48
OGLE-LMC-CEP-1954;13,67;14,62;12,949604;0,000076;-3,94;-4,90;18,47;51.492,62;51.685,92;51.165,86;51.492,78;51.492,46;51.686,10;51.685,74;49.401,79;49.400,03
OGLE-LMC-CEP-0969;13,68;14,60;12,721827;0,000037;-3,92;-4,87;18,50;50.655,83;51.353,99;51.547,32;50.655,91;50.655,75;51.354,08;51.353,90;50.066,68;50.066,15
OGLE-LMC-CEP-0708;13,70;14,48;10,413326;0,000018;-3,69;-4,61;18,48;43.071,77;45.908,58;51.127,38;43.071,82;43.071,73;45.908,63;45.908,53;49.590,10;49.589,87
OGLE-LMC-CEP-0648;13,70;14,66;13,626199;0,000032;-4,00;-4,96;18,50;53.895,95;53.922,24;48.452,79;53.896,01;53.895,88;53.922,32;53.922,17;50.039,82;50.039,45
OGLE-LMC-CEP-0812;13,70;14,59;12,195562;0,000018;-3,87;-4,82;18,45;49.366,44;50.562,44;53.779,62;49.366,47;49.366,40;50.562,48;50.562,39;48.932,95;48.932,71
OGLE-LMC-CEP-1120;13,71;14,61;11,904967;0,000026;-3,85;-4,79;18,59;49.185,70;49.955,06;55.124,90;49.185,76;49.185,64;49.955,12;49.954,99;52.321,34;52.320,93
OGLE-LMC-CEP-2979;13,71;14,84;17,794582;0,000051;-4,31;-5,31;18,60;67.803,75;63.521,64;54.284,87;67.803,85;67.803,64;63.521,75;63.521,53;52.485,89;52.484,54
OGLE-LMC-CEP-0016;13,71;14,79;10,506456;0,001555;-3,70;-4,63;17,93;49.849,14;46.408,85;30.880,11;49.853,08;49.845,20;46.412,95;46.404,75;38.631,21;38.626,60
OGLE-LMC-CEP-1252;13,72;14,54;9,993312;0,000012;-3,64;-4,56;18,54;43.235,93;45.271,68;54.289,75;43.235,96;43.235,91;45.271,72;45.271,65;51.034,95;51.034,80
OGLE-LMC-CEP-2917;13,73;14,54;11,446018;0,000041;-3,80;-4,74;18,52;46.593,08;49.384,79;47.112,97;46.593,17;46.593,00;49.384,90;49.384,69;50.668,87;50.667,84
OGLE-LMC-CEP-0034;13,74;14,63;11,254628;0,000060;-3,78;-4,72;18,27;48.107,28;49.025,74;53.637,13;48.107,42;48.107,15;49.025,89;49.025,58;45.117,94;45.117,75
OGLE-LMC-CEP-1616;13,74;14,82;15,549028;0,000036;-4,16;-5,13;18,54;62.512,88;59.589,56;49.626,59;62.512,96;62.512,81;59.589,64;59.589,47;51.000,71;50.999,95
OGLE-LMC-CEP-0070;13,75;14,76;13,745876;0,000074;-4,01;-4,97;18,51;56.857,02;55.569,14;50.246,74;56.857,18;56.856,86;55.569,32;55.568,96;50.387,95;50.387,58
OGLE-LMC-CEP-1973;13,76;14,71;12,359792;0,000023;-3,89;-4,84;18,58;52.424,46;52.395,48;50.596,00;52.424,51;52.424,41;52.395,54;52.395,43;51.885,71;51.885,23
OGLE-LMC-CEP-0770;13,76;14,61;10,854945;0,000025;-3,74;-4,67;18,59;46.668,64;48.535,05;51.281,95;46.668,70;46.668,58;48.535,11;48.534,98;52.289,31;52.288,99
OGLE-LMC-CEP-1862;13,77;14,74;13,124850;0,000024;-3,96;-4,91;18,52;54.987,30;54.582,71;48.064,26;54.987,35;54.987,24;54.582,77;54.582,65;50.494,67;50.494,23
OGLE-LMC-CEP-0114;13,79;14,59;10,371829;0,000051;-3,69;-4,61;18,44;45.192,54;47.759,45;47.019,64;45.192,66;45.192,42;47.759,59;47.759,31;48.817,97;48.817,67
OGLE-LMC-CEP-0584;13,79;14,67;5,725342;0,000019;-3,00;-3,84;18,61;34.171,65;33.520,03;51.133,72;34.171,71;34.171,59;33.520,09;33.519,96;52.636,19;52.635,96
OGLE-LMC-CEP-1391;13,80;14,69;11,090623;0,000027;-3,76;-4,70;18,43;49.159,39;49.936,80;54.281,91;49.159,45;49.159,32;49.936,87;49.936,73;48.538,28;48.537,80
OGLE-LMC-CEP-2061;13,81;14,61;9,741081;0,000045;-3,61;-4,53;18,50;44.209,56;46.430,46;51.423,62;44.209,67;44.209,46;46.430,59;46.430,34;50.123,01;50.122,07
OGLE-LMC-CEP-0504;13,81;14,85;14,391887;0,000081;-4,07;-5,03;18,50;60.622,64;58.658,78;50.467,79;60.622,83;60.622,46;58.658,98;58.658,59;50.194,02;50.193,12
OGLE-LMC-CEP-1237;13,81;14,62;10,347881;0,000019;-3,68;-4,61;18,54;45.680,48;48.201,48;48.106,33;45.680,53;45.680,44;48.201,53;48.201,43;51.088,40;51.088,06
OGLE-LMC-CEP-0155;13,81;14,61;9,850654;0,000090;-3,63;-4,54;18,58;44.310,88;46.870,68;49.734,91;44.311,09;44.310,66;46.870,94;46.870,42;51.949,27;51.948,78
OGLE-LMC-CEP-0978;13,83;14,82;10,520061;0,000050;-3,70;-4,63;18,52;50.554,26;49.128,79;47.511,18;50.554,39;50.554,13;49.128,93;49.128,65;50.487,47;50.486,65
OGLE-LMC-CEP-2174;13,83;14,57;8,303142;0,000059;-3,43;-4,32;18,48;39.799,30;42.699,23;51.125,35;39.799,45;39.799,15;42.699,41;42.699,05;49.720,11;49.718,90
OGLE-LMC-CEP-3061;13,83;14,82;12,090312;0,000086;-3,86;-4,81;18,39;54.528,26;53.454,25;51.165,97;54.528,47;54.528,05;53.454,48;53.454,02;47.666,76;47.664,02
OGLE-LMC-CEP-1214;13,85;14,61;8,771721;0,000010;-3,49;-4,39;18,48;41.630,08;44.508,65;47.883,22;41.630,11;41.630,06;44.508,68;44.508,62;49.693,92;49.693,74
OGLE-LMC-CEP-2133;13,85;14,74;11,262662;0,000079;-3,78;-4,72;18,48;50.649,63;51.737,93;50.910,27;50.649,82;50.649,44;51.738,14;51.737,71;49.619,70;49.618,00
OGLE-LMC-CEP-0831;13,86;14,68;9,712606;0,000019;-3,61;-4,52;18,56;45.481,76;47.450,91;48.863,88;45.481,81;45.481,72;47.450,96;47.450,85;51.411,27;51.411,02
OGLE-LMC-CEP-1431;13,86;14,71;10,254633;0,000018;-3,67;-4,59;18,60;47.471,32;49.013,41;49.212,82;47.471,37;47.471,28;49.013,46;49.013,36;52.573,85;52.573,55
OGLE-LMC-CEP-2562;13,86;14,75;10,071731;0,000060;-3,65;-4,57;18,42;47.913,47;48.579,37;56.756,68;47.913,62;47.913,32;48.579,55;48.579,20;48.293,32;48.291,75
OGLE-LMC-CEP-0212;13,86;14,82;12,326555;0,000087;-3,89;-4,83;18,58;55.221,66;54.877,73;31.723,27;55.221,87;55.221,45;54.877,96;54.877,50;51.944,86;51.944,30
OGLE-LMC-CEP-1490;13,87;14,59;8,170206;0,000008;-3,41;-4,30;18,50;39.712,98;42.957,42;51.131,03;39.713,00;39.712,96;42.957,45;42.957,40;50.100,62;50.100,48
OGLE-LMC-CEP-3323;13,87;14,75;10,687317;0,000089;-3,72;-4,65;18,50;49.546,83;50.515,32;49.622,76;49.547,05;49.546,61;50.515,57;50.515,06;50.172,20;50.167,10
OGLE-LMC-CEP-0057;13,89;14,80;10,307435;0,000155;-3,68;-4,60;18,77;49.570,40;49.801,87;52.585,04;49.570,80;49.570,00;49.802,32;49.801,42;56.736,04;56.735,51
OGLE-LMC-CEP-0854;13,89;14,70;9,048430;0,000053;-3,53;-4,43;18,57;44.137,74;46.184,00;50.530,10;44.137,88;44.137,60;46.184,17;46.183,84;51.686,82;51.686,05
OGLE-LMC-CEP-0963;13,90;14,70;8,713330;0,000014;-3,48;-4,38;18,52;43.416,85;45.385,16;50.323,48;43.416,89;43.416,82;45.385,20;45.385,12;50.581,70;50.581,49
OGLE-LMC-CEP-1078;13,90;14,70;8,559183;0,000017;-3,46;-4,36;18,53;42.827,12;44.966,50;50.392,88;42.827,16;42.827,07;44.966,56;44.966,45;50.828,63;50.828,36
OGLE-LMC-CEP-0798;13,91;14,80;10,710436;0,000037;-3,72;-4,65;17,51;50.642,72;51.497,12;49.854,55;50.642,81;50.642,63;51.497,23;51.497,02;31.723,51;31.723,03
OGLE-LMC-CEP-0716;13,91;14,87;12,188522;0,000027;-3,87;-4,82;18,65;55.988,38;55.677,33;51.644,29;55.988,44;55.988,31;55.677,40;55.677,26;53.628,23;53.627,91
OGLE-LMC-CEP-1140;13,91;14,60;8,186492;0,000009;-3,41;-4,30;18,56;40.030,80;43.909,06;50.774,38;40.030,82;40.030,77;43.909,09;43.909,03;51.451,65;51.451,49
OGLE-LMC-CEP-2544;13,91;14,72;9,610902;0,000016;-3,60;-4,51;18,63;46.046,44;48.318,90;49.508,60;46.046,48;46.046,40;48.318,95;48.318,86;53.120,96;53.120,66
OGLE-LMC-CEP-0878;13,92;14,75;9,722551;0,000059;-3,61;-4,53;18,56;47.062,46;48.900,09;49.810,25;47.062,61;47.062,31;48.900,27;48.899,92;51.425,46;51.424,63
OGLE-LMC-CEP-1233;13,92;14,65;8,210233;0,000007;-3,42;-4,31;18,55;40.951,12;44.208,37;54.543,38;40.951,14;40.951,10;44.208,39;44.208,34;51.319,44;51.319,32
OGLE-LMC-CEP-0837;13,92;14,60;5,777319;0,000008;-3,01;-3,85;18,49;33.217,11;35.879,46;48.682,31;33.217,14;33.217,09;35.879,49;35.879,43;49.963,14;49.963,09
OGLE-LMC-CEP-2325;13,92;14,73;9,267916;0,000040;-3,56;-4,46;18,63;45.432,69;47.566,54;47.399,57;45.432,79;45.432,59;47.566,66;47.566,41;53.206,80;53.205,91
OGLE-LMC-CEP-2211;13,93;14,73;9,334619;0,000037;-3,56;-4,47;18,56;45.565,02;47.880,61;49.921,24;45.565,12;45.564,93;47.880,72;47.880,49;51.486,22;51.485,46
OGLE-LMC-CEP-1513;13,93;14,65;8,460863;0,000006;-3,45;-4,35;18,44;41.767,59;45.195,54;50.434,22;41.767,61;41.767,57;45.195,56;45.195,52;48.858,89;48.858,77
OGLE-LMC-CEP-2050;13,93;14,64;7,494893;0,000006;-3,31;-4,19;18,54;38.844,07;42.042,16;50.808,55;38.844,09;38.844,06;42.042,18;42.042,15;51.162,53;51.162,41
OGLE-LMC-CEP-1112;13,93;14,71;7,926034;0,000033;-3,37;-4,26;18,56;41.447,26;43.508,77;47.974,07;41.447,36;41.447,17;43.508,88;43.508,66;51.581,11;51.580,62
OGLE-LMC-CEP-1083;13,94;14,66;8,899569;0,000052;-3,51;-4,41;18,51;43.088,66;46.708,24;49.068,52;43.088,80;43.088,53;46.708,41;46.708,08;50.429,35;50.428,45
OGLE-LMC-CEP-0655;13,94;14,90;12,987700;0,000073;-3,95;-4,90;18,59;58.752,48;58.604,82;51.095,15;58.752,66;58.752,31;58.605,01;58.604,62;52.231,96;52.230,91
OGLE-LMC-CEP-1115;13,94;14,79;9,671673;0,000018;-3,61;-4,52;18,61;47.803,30;49.153,03;38.287,48;47.803,34;47.803,25;49.153,08;49.152,97;52.843,24;52.842,95
OGLE-LMC-CEP-1647;13,94;14,70;8,692966;0,000023;-3,48;-4,38;18,51;43.342,68;46.121,95;53.507,60;43.342,74;43.342,61;46.122,02;46.121,87;50.398,74;50.398,29
OGLE-LMC-CEP-0107;13,94;14,76;8,738860;0,000037;-3,49;-4,39;18,48;44.518,12;46.309,70;48.382,07;44.518,23;44.518,02;46.309,81;46.309,58;49.697,39;49.697,21
OGLE-LMC-CEP-0046;13,95;14,73;8,843549;0,000032;-3,50;-4,40;18,49;44.350,51;46.833,59;52.354,63;44.350,59;44.350,42;46.833,69;46.833,49;49.922,98;49.922,85
OGLE-LMC-CEP-1417;13,95;14,78;8,672794;0,000016;-3,48;-4,38;18,63;44.913,50;46.313,29;51.803,31;44.913,55;44.913,46;46.313,34;46.313,24;53.110,41;53.110,11
OGLE-LMC-CEP-1884;13,97;14,65;7,771074;0,000007;-3,35;-4,24;18,51;39.821,43;43.697,94;48.567,81;39.821,45;39.821,41;43.697,97;43.697,92;50.314,94;50.314,79
OGLE-LMC-CEP-3284;13,97;14,88;10,477689;0,000075;-3,70;-4,62;18,47;51.882,61;52.226,44;53.589,63;51.882,80;51.882,41;52.226,66;52.226,22;49.389,56;49.386,77
OGLE-LMC-CEP-0888;13,97;14,80;9,369253;0,000026;-3,57;-4,48;18,50;47.172,67;48.991,32;53.027,02;47.172,74;47.172,60;48.991,40;48.991,24;50.136,33;50.135,96
OGLE-LMC-CEP-2307;13,97;15,08;14,190111;0,000081;-4,05;-5,02;18,58;66.859,08;62.758,81;51.751,19;66.859,29;66.858,88;62.759,03;62.758,60;52.017,35;52.015,47
OGLE-LMC-CEP-3339;13,98;14,81;8,954679;0,000087;-3,52;-4,42;18,93;46.258,84;47.818,18;50.794,08;46.259,08;46.258,60;47.818,46;47.817,90;61.056,42;61.050,99
